Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
1005.a5.txt,2093.02,1000.0,806.2,356.59,3,0,2
1006.a5.txt,1812.44,1018.94,712.35,405.77,7,2,0
1008.a5.txt,1953.75,1028.71,893.14,422.65,5,0,0
1010.a5.txt,2326.02,877.03,943.76,314.59,5,0,4
1012.a5.txt,2083.33,1025.0,758.33,325.0,3,0,0
1013.a5.txt,1972.08,1125.65,750.44,296.68,0,1,0
1014.a5.txt,2074.07,1028.81,781.89,345.68,3,1,2
1018.a5.txt,2107.08,958.55,915.37,276.34,2,1,0
1021.a5.txt,1888.75,1138.42,685.64,388.1,1,0,7
1022.a5.txt,2403.93,1143.88,1072.39,464.7,1,0,0
1023.a5.txt,1771.56,1002.33,683.76,435.12,5,1,4
1032.a5.txt,2217.61,1162.79,672.76,573.09,0,0,0
1034.a5.txt,2100.41,1014.34,799.18,379.1,0,1,3
1036.a5.txt,1899.22,968.99,736.43,310.08,3,0,0
1041.a5.txt,1842.33,856.9,754.07,437.02,11,1,1
1043.a5.txt,1689.9,1141.11,696.86,540.07,5,0,0
1048.a5.txt,2211.91,1005.41,726.99,409.9,3,0,4
1050.a5.txt,1720.32,1106.64,804.83,482.9,4,2,0
1055.a5.txt,1900.83,1065.2,1074.38,459.14,1,0,1
1057.a5.txt,1541.6,1264.27,652.53,342.58,1,0,0
1061.a5.txt,1666.67,1088.78,653.27,226.13,5,0,1
1062.a5.txt,1689.35,880.7,808.65,448.36,5,1,3
1064.a5.txt,2231.2,1253.03,646.73,582.05,0,0,1
1065.a5.txt,1996.7,965.35,767.33,387.79,7,1,3
1067.a5.txt,1933.56,1056.22,672.91,340.72,6,2,0
1068.a5.txt,2024.24,1321.21,739.39,509.09,2,1,1
1070.a5.txt,1560.8,1206.9,843.92,317.6,6,0,0
1072.a5.txt,1561.34,1085.5,631.97,468.4,6,3,2
1074.a5.txt,1924.46,1070.14,845.32,521.58,2,1,1
1081.a5.txt,2113.74,1071.09,919.43,417.06,1,0,1
1088.a5.txt,1444.64,1141.87,908.3,320.07,5,0,1
1094.a5.txt,1617.25,1365.68,575.02,260.56,5,0,0
1095.a5.txt,1574.8,1049.87,813.65,419.95,5,1,1
1099.a5.txt,1652.32,1118.76,654.04,335.63,10,1,0
1100.a5.txt,1996.59,1134.81,870.31,324.23,5,0,0
1102.a5.txt,2264.15,1006.29,835.58,314.47,3,0,0
1104.a5.txt,1946.31,989.93,604.03,444.63,3,4,3
1112.a5.txt,2016.62,1087.61,1019.64,521.15,4,0,0
1121.a5.txt,1806.88,1053.4,899.78,497.44,4,1,0
2005.a5.txt,2213.11,1111.11,856.1,336.98,5,0,1
2007.a5.txt,1769.32,873.46,772.68,559.91,6,2,0
2012.a5.txt,2143.4,822.64,732.08,369.81,3,0,2
2014.a5.txt,2231.73,1018.66,832.04,458.79,1,0,3
2015.a5.txt,2148.26,945.54,968.23,325.26,4,1,2
2019.a5.txt,1875.56,1164.44,657.78,364.44,8,3,0
2020.a5.txt,2311.73,928.2,989.49,262.7,4,0,1
2021.a5.txt,1945.56,960.77,1096.88,344.28,6,0,0
2026.a5.txt,1949.63,848.88,746.27,438.43,4,3,1
2028.a5.txt,2278.65,933.42,830.47,446.12,9,1,1
2032.a5.txt,1814.35,911.39,1012.66,337.55,1,1,1
2034.a5.txt,2111.28,914.63,846.04,365.85,6,1,1
2035.a5.txt,1879.88,897.04,670.83,468.02,1,0,0
2036.a5.txt,1972.05,1141.3,698.76,442.55,4,0,2
2039.a5.txt,1503.52,994.52,775.25,422.87,7,0,2
2040.a5.txt,2222.22,974.36,888.89,358.97,8,0,2
2045.a5.txt,2005.4,1034.17,728.42,332.73,8,1,1
2048.a5.txt,1736.84,789.47,1082.71,323.31,7,0,2
2049.a5.txt,2280.89,1129.88,1098.2,337.91,2,1,0
2050.a5.txt,1864.69,882.84,717.82,470.3,6,1,2
2058.a5.txt,1712.54,948.01,695.72,344.04,5,0,1
2066.a5.txt,2201.14,1166.98,844.4,265.65,5,0,0
2071.a5.txt,2319.04,1047.08,927.62,400.56,0,0,1
2075.a5.txt,2318.21,825.59,656.1,421.0,6,0,3
