,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
76,1008.a4.txt,1620.55,998.02,711.46,553.36,6,2,3
77,1009.a4.txt,1698.11,1054.38,566.04,377.36,7,0,2
78,1010.a4.txt,1691.82,818.11,746.62,468.63,11,0,3
79,1012.a4.txt,1733.07,956.18,776.89,358.57,8,0,1
80,1013.a4.txt,1406.1,1081.61,668.63,304.82,10,0,0
81,1014.a4.txt,1387.76,1275.51,571.43,387.76,7,0,1
82,1017.a4.txt,1525.68,1049.85,755.29,543.81,3,0,1
83,1018.a4.txt,1501.62,1209.42,641.23,430.19,8,0,2
84,1021.a4.txt,1643.84,1013.7,821.92,452.05,8,0,0
85,1022.a4.txt,1512.53,1175.45,553.15,484.01,7,0,2
86,1023.a4.txt,1687.96,821.17,839.42,474.45,12,1,2
87,1032.a4.txt,1161.42,1279.53,679.13,551.18,7,1,1
88,1034.a4.txt,1520.34,1124.2,674.52,578.16,9,0,2
89,1036.a4.txt,1548.97,1150.34,626.42,501.14,10,0,2
90,1043.a4.txt,1356.93,1052.11,766.96,481.81,8,0,1
91,1048.a4.txt,1433.72,1316.5,532.01,568.08,4,0,2
92,1049.a4.txt,1369.29,1296.68,809.13,497.93,7,0,1
93,1050.a4.txt,1544.12,1200.98,784.31,404.41,4,0,2
94,1052.a4.txt,1366.34,1128.71,613.86,465.35,9,0,1
95,1055.a4.txt,1472.28,1003.82,602.29,420.65,10,1,1
96,1057.a4.txt,1322.53,1194.54,511.95,409.56,7,0,2
97,1060.a4.txt,1664.92,931.94,1015.71,335.08,4,0,0
98,1061.a4.txt,1440.76,1165.88,559.24,369.67,4,0,3
99,1064.a4.txt,1568.12,1045.42,616.97,437.02,8,0,2
100,1065.a4.txt,1326.53,1190.48,714.29,399.66,9,0,1
101,1066.a4.txt,1714.0,963.49,750.51,294.12,5,0,2
102,1067.a4.txt,1445.52,992.45,604.1,431.5,5,2,0
103,1068.a4.txt,2134.29,959.23,671.46,239.81,2,0,5
104,1070.a4.txt,1238.94,1250.0,387.17,674.78,5,0,1
105,1072.a4.txt,1575.06,926.99,738.31,410.17,4,0,1
106,1074.a4.txt,1389.65,1044.5,744.78,454.13,7,0,1
107,1076.a4.txt,1553.4,1050.31,591.35,291.26,7,1,1
108,1077.a4.txt,1888.51,1001.14,910.13,580.2,8,0,4
109,1081.a4.txt,1563.94,1103.96,607.18,257.59,8,0,3
110,1088.a4.txt,1246.14,1246.14,442.84,329.56,6,0,1
111,1090.a4.txt,1490.51,1165.31,686.54,406.5,7,0,3
112,1094.a4.txt,1185.19,1185.19,571.43,592.59,8,1,1
113,1095.a4.txt,1528.09,1146.07,685.39,584.27,9,0,0
114,1098.a4.txt,1384.78,1099.37,560.25,486.26,9,0,1
115,1099.a4.txt,1459.35,1165.52,656.22,254.65,8,0,2
